,0,1,2
0,tensor(7.97962761),tensor(1.73431194),tensor(9.71393967)
1,tensor(7.97905064),tensor(1.73431396),tensor(9.71336460)
2,tensor(7.97847462),tensor(1.73431563),tensor(9.71279049)
3,tensor(7.97789907),tensor(1.73431683),tensor(9.71221542)
4,tensor(7.97732401),tensor(1.73431754),tensor(9.71164131)
5,tensor(7.97674894),tensor(1.73431778),tensor(9.71106720)
6,tensor(7.97617531),tensor(1.73431754),tensor(9.71049309)
7,tensor(7.97560167),tensor(1.73431683),tensor(9.70991898)
8,tensor(7.97502899),tensor(1.73431563),tensor(9.70934486)
9,tensor(7.97445631),tensor(1.73431396),tensor(9.70877075)
10,tensor(7.97388363),tensor(1.73431182),tensor(9.70819569)
11,tensor(7.97331238),tensor(1.73430920),tensor(9.70762157)
12,tensor(7.97274113),tensor(1.73430622),tensor(9.70704746)
13,tensor(7.97216988),tensor(1.73430276),tensor(9.70647240)
14,tensor(7.97159958),tensor(1.73429883),tensor(9.70589828)
15,tensor(7.97103071),tensor(1.73429430),tensor(9.70532513)
16,tensor(7.97045994),tensor(1.73428941),tensor(9.70474911)
17,tensor(7.96989059),tensor(1.73428404),tensor(9.70417500)
18,tensor(7.96932125),tensor(1.73427832),tensor(9.70359993)
19,tensor(7.96875238),tensor(1.73427200),tensor(9.70302391)
20,tensor(7.96818352),tensor(1.73426545),tensor(9.70244884)
21,tensor(7.96761608),tensor(1.73425829),tensor(9.70187473)
22,tensor(7.96704721),tensor(1.73425078),tensor(9.70129776)
23,tensor(7.96647930),tensor(1.73424268),tensor(9.70072174)
24,tensor(7.96590996),tensor(1.73423433),tensor(9.70014381)
25,tensor(7.96534204),tensor(1.73422551),tensor(9.69956779)
26,tensor(7.96477413),tensor(1.73421621),tensor(9.69898987)
27,tensor(7.96420717),tensor(1.73420644),tensor(9.69841385)
28,tensor(7.96363926),tensor(1.73419642),tensor(9.69783592)
29,tensor(7.96307182),tensor(1.73418570),tensor(9.69725800)
30,tensor(7.96250486),tensor(1.73417473),tensor(9.69668007)
31,tensor(7.96193647),tensor(1.73416317),tensor(9.69609928)
32,tensor(7.96136951),tensor(1.73415136),tensor(9.69552040)
33,tensor(7.96080112),tensor(1.73413897),tensor(9.69494057)
34,tensor(7.96023369),tensor(1.73412621),tensor(9.69435978)
35,tensor(7.95966578),tensor(1.73411298),tensor(9.69377899)
36,tensor(7.95909786),tensor(1.73409939),tensor(9.69319725)
37,tensor(7.95853043),tensor(1.73408532),tensor(9.69261551)
38,tensor(7.95796061),tensor(1.73407078),tensor(9.69203186)
39,tensor(7.95739174),tensor(1.73405576),tensor(9.69144726)
40,tensor(7.95682287),tensor(1.73404050),tensor(9.69086361)
41,tensor(7.95625257),tensor(1.73402476),tensor(9.69027710)
42,tensor(7.95568323),tensor(1.73400855),tensor(9.68969154)
43,tensor(7.95511341),tensor(1.73399198),tensor(9.68910503)
44,tensor(7.95454359),tensor(1.73397493),tensor(9.68851852)
45,tensor(7.95397329),tensor(1.73395741),tensor(9.68793106)
46,tensor(7.95340300),tensor(1.73393953),tensor(9.68734264)
47,tensor(7.95283270),tensor(1.73392117),tensor(9.68675423)
48,tensor(7.95226145),tensor(1.73390245),tensor(9.68616390)
49,tensor(7.95168924),tensor(1.73388326),tensor(9.68557262)
50,tensor(7.95111990),tensor(1.73386359),tensor(9.68498325)
51,tensor(7.95054626),tensor(1.73384356),tensor(9.68439007)
52,tensor(7.94997358),tensor(1.73382306),tensor(9.68379688)
53,tensor(7.94940138),tensor(1.73380232),tensor(9.68320370)
54,tensor(7.94882774),tensor(1.73378086),tensor(9.68260860)
55,tensor(7.94825363),tensor(1.73375940),tensor(9.68201256)
56,tensor(7.94768095),tensor(1.73373723),tensor(9.68141842)
57,tensor(7.94710493),tensor(1.73371470),tensor(9.68081951)
58,tensor(7.94652987),tensor(1.73369181),tensor(9.68022156)
59,tensor(7.94595575),tensor(1.73366845),tensor(9.67962456)
